OHDE,VITAMINAS,,,,
OHDE CAPS,VITAMINA D E ANÁLOGOS,,,,
OKACIN,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
OKASAGOLD,MODULADORES DO APETITE E PRODUTOS PARA DIETAS ESPECIAIS,,,,
OKÓTICO,NEUROLEPTICOS,CLOZAPINA,,,
OLANCARE,ANTIPSICOTICOS,,,,
OLANEXYN,ANTIPSICOTICOS,,,,
OLANZAPINA,ANTIPSICOTICOS,,,,
OLANZAPINA (PORT. 344/98 - LISTA C1),ANTIPSICOTICOS,OLANZAPINA,,,
OLANZYS,ANTIPSICOTICOS,,,,
OLAZOFREN,ANTIPSICOTICOS,,,,
OLCADIL,ANSIOLITICOS SIMPLES,,,,
OLEO DE ALHO CRU VITERNAT,FITOTERAPICO SIMPLES,,,,
OLEO DE ALHO FONTOVIT,ANTILIPEMICOS + FITOTERAPICO SIMPLES,,,,
OLEO DE AMENDOAS,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
OLEO DE AMENDOAS DOCES,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
OLEO DE COPAIBA,ANTINFLAMATORIOS,,,,
OLEO DE FIGADO DE BACALHAU,PRODUTOS NATURAIS SIMPLES,,,,
OLEO DE RICINO,LAXANTES,,,,
OLEPTAL,ANTICONVULSIVANTES,OXCARBAZEPINA,,,
OLESKIZ,NEUROLEPTICOS,,,,
OLFEN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
OLICLINOMEL,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
OLICLINOMEL N8-800,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
OLIG-TRAT,NUTRIENTES PARENTERAIS,CLORETO CRÔMICO HEXAIDRATADO +  SULFATO CÚPRICO PENTAIDRATADO +  SULFATO DE MANGANÊS MONOIDRATADO +  SULFATO DE ZINCO HEPTAIDRATADO,,,
OLIGOSOL,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
OLIGOSOL- GLUCONATO DE MANGANÊS E GLUCONATO DE COBRE,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
OLIGOVIT,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
OLIMEL,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,ACETATO DE LISINA +  ACETATO DE SÓDIO TRI-HIDRATADO  +  ACETATO DE SÓDIO TRIHIDRATADO +  ALANINA +  ARGININA +  CLORETO DE CÁLCIO DI-HIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  FENILALAMINA +  GLICEROFOSFATO DE SÓDIO +  GLICINA +  GLICOSE MONOHIDRATADA +  GLICOSE MONOIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA + ,,,
OLINA ESSÊNCIA DE VIDA,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS,ALOE FEROX MILL. +  GENTIANA LUTEA L.,,,
OLMECOR,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA,,,
OLMEDIX,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA,,,
OLMEDIX ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMEDIX HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA,,,
OLMEGRAN,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA,,,
OLMEGRAN ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMEGRAN HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA,,,
OLMESARTANA MEDOXOMILA,ANTI-HIPERTENSIVOS,,,,
OLMESARTANA MEDOXOMILA + BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMESARTANA MEDOXOMILA + HIDROCLOROTIAZIDA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA,,,
OLMESARTANA MEDOXOMILA+BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OLMESIP,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMETEC,ANTI-HIPERTENSIVOS,,,,
OLMETEC HCT,ANTI-HIPERTENSIVOS,,,,
OLMETECANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OLMETRAT,ANTI-HIPERTENSIVOS,,,,
OLMY,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA,,,
OLMY ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  OLMESARTANA MEDOXOMILA,,,
OLMY HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA,,,
OLSAR,ANTI-HIPERTENSIVOS,,,,
OLSAR H,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OLTANA H,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OLTER,PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS,,,,
OLZICAR HCT,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA,,,
OMCILON,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
OMCILON A,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,TRIANCINOLONA ACETONIDA,,,
OMEC,ANTIULCEROSOS,,,,
OMEGASTROL,ANTIULCEROSOS,,,,
OMEGAVEN,NUTRIENTES PARENTERAIS,ÓLEO DE PEIXE,,,
OMENAX,ANTIULCEROSOS,,,,
OMEP,ANTIULCEROSOS,,,,
OMEPRAMED,ANTIULCEROSOS,OMEPRAZOL,,,
OMEPRAMIX,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,AMOXICILINA TRI-HIDRATADA +  CLARITROMICINA +  OMEPRAZOL,,,
OMEPRASEC,ANTIULCEROSOS,,,,
OMEPRAZIN,ANTIULCEROSOS,,,,
OMEPRAZOL,ANTIULCEROSOS,,,,
OMEPRAZOL + CLARITROMICINA + AMOXICILINA,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
OMEPRAZOL + CLARITROMICINA + TINIDAZOL,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
OMEPRAZOL SÓDICO,ANTIULCEROSOS,OMEPRAZOL SÓDICO,,,
OMEPRAZOLEX,ANTIACIDOS E ANTIULCEROSOS,,,,
OMEPROTEC,ANTIULCEROSOS,,,,
OMETINOR,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
OMEZOL,ANTIULCEROSOS,,,,
OMEZOLON,ANTIACIDOS E ANTIULCEROSOS,,,,
OMNARIS,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA,,,,
OMNIC,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
OMNIC OCAS,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA,,,
OMNIPAQUE,CONTRASTES RADIOLOGICOS,,,,
OMNISCAN,CONTRASTES RADIOLOGICOS,,,,
OMOCONAZOL,ANTIMICOTICOS PARA USO TOPICO,,,,
OMOPREL,ANTIULCEROSOS,OMEPRAZOL,,,
ONBRIZE,BRONCODILATADORES,MALEATO DE INDACATEROL,,,
ONCASPAR,ANTINEOPLASICO,,,,
ONCIBEL,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ONCICREM-A,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,ACETONIDA DE TRIANCINOLONA,,,
ONCILEG,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ONCILEG-A,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ONCIPLUS,ANTIMICOTICOS PARA USO TOPICO,,,,
ONCO-PROVERA,PROGESTAGENOS SIMPLES,,,,
ONCOBINE,ANTINEOPLASICOS CITOTOXICOS,,,,
ONCOCARB,ANTINEOPLASICO,,,,
ONCODOCEL,ANTINEOPLASICO + DOCETAXEL,,,,
ONCODOX,ANTINEOPLASICO,,,,
ONCOLEM,ANTINEOPLASICO,,,,
ONCOPLATIN,ANTINEOPLASICO,,,,
ONCOSÍDEO,ANTINEOPLASICOS CITOTOXICOS,,,,
ONCOTAXEL,ANTINEOPLASICOS CITOTOXICOS,,,,
ONCOTECAN,ANTINEOPLASICO,,,,
ONCOVIN,ANTINEOPLASICO,,,,
ONDANSETRON,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONDANSETRONA,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONDANTRIL,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONDETRON,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONDIF,ANTIEMETICOS E ANTINAUSEANTES,ONDANSETRONA,,,
ONDRALIX,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONEGRIPE,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL,,,
ONGLYZA,ANTIDIABETICOS,,,,
ONICIT,ANTIEMETICOS E ANTINAUSEANTES,,,,
ONICORYL,ANTIMICOTICOS PARA USO TOPICO,CLORIDRATO DE AMOROLFINA,,,
ONIDAZOL,ANTIPARASITARIOS,,,,
ONIMORF,ANTIMICOTICOS PARA USO TOPICO,,,,
ONTAX,ANTINEOPLASICO,PACLITAXEL,,,
ONTRAX,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,,,
ONTRUZANT,ANTINEOPLASICO,TRASTUZUMABE,,,
ONUA,ANTICONCEPCIONAIS,DESOGESTREL,,,
ONXEL,ANTINEOPLASICO,,,,
ONYMAX,ANTIMICOTICOS PARA USO TOPICO,,,,
OPDIVO,ANTINEOPLASICO,NIVOLUMABE,,,
OPHTCOL,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CLORETO DE CARBACOL,,,
OPINOX,ANTIPSICOTICOS,,,,
OPIVAC,ANESTESICOS LOCAIS,CLORIDRATO DE ROPIVACAÍNA,,,
OPONAP®,ANESTESICOS GERAIS INJETAVEIS,PROPOFOL,,,
OPOPLEX MVI 12,POLIVITAMINICOS COM MINERAIS,,,,
OPRAZON,ANTIULCEROSOS,,,,
OPTACILIN,PENICILINA DE AMPLO ESPECTRO,,,,
OPTAFLAN,ANTINFLAMATORIOS,,,,
OPTAMAX,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
OPTHAAC 40,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,TRIANCINOLONA ACETONIDA,,,
OPTI-BAR,CONTRASTES RADIOLOGICOS,SULFATO DE BÁRIO,,,
OPTI-BE,CONTRASTES RADIOLOGICOS,,,,
OPTILAR,ANTINFLAMATORIOS,TROMETAMOL CETOROLACO ,,,
OPTIMARK,CONTRASTES RADIOLOGICOS,,,,
OPTIMUM NUTRITION,MONOVITAMINAS EXCETO VITAMINA K,,,,
OPTIMUM NUTRITION VITAMIN C,MONOVITAMINAS EXCETO VITAMINA K,,,,
OPTIMUM NUTRITION VITAMIN E,MONOVITAMINAS EXCETO VITAMINA K,,,,
OPTIRAY,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,IOVERSOL,,,
OPTIVATE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
OPTIVE,EMOLIENTES E PROTETORES OFTALMICOS,,,,
OPTNEO,ANTIGLAUCOMATOSOS,,,,
OPTOLUBRI,EMOLIENTES E PROTETORES OFTALMICOS,CARMELOSE SÓDICA,,,
ORALDRAX,REIDRATANTES ORAIS,,,,
ORALMAXI,ANTINFLAMATORIOS,,,,
ORALPRED,GLICOCORTICOIDES SISTEMICOS,,,,
ORALSEPT,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,TRIANCINOLONA ACETONIDA,,,
ORALZ,OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA,GLICINATO DE ZINCO,,,
ORAP,NEUROLEPTICOS,,,,
ORBIFLOX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,GATIFLOXACINO,,,
ORBIZOL,DESCONGESTIONATES OFTALMICOS,,,,
ORELOX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ORFENADRINA + DIPIRONA + CAFEINA,ANALGESICOS NAO NARCOTICOS,,,,
ORGALUTRAN,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
ORGANONEURO CEREBRAL,POLIVITAMINICOS COM MINERAIS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA +  ÁCIDO AMINOBUTÍRICO +  ÁCIDO GLUTÂMICO,,,
ORGANONEURO ÓPTICO,POLIVITAMINICOS SEM MINERAIS,,,,
ORGAPLEX,POLIVITAMINICOS SEM MINERAIS,,,,
ORIMETEN,ANTINEOPLASICO,,,,
ORKAMBI,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,IVACAFTOR +  LUMACAFTOR,,,
ORLAWAX,REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO,,,,
ORLAX,ORLISTATE,ORLISTATE,,,
ORLAXYL,DESCONGESTIONANTES NASAIS TOPICOS,,,,
ORLIBESI,MODULADORES DO METABOLISMO E DA DIGESTAO,,,,
ORLIPID,MODULADORES DO METABOLISMO E DA DIGESTAO,,,,
ORLISTATE,ORLISTATE,ORLISTATE,,,
ORMIGREIN,ANALGESICOS CONTRA ENXAQUECA,,,,
ORNARE,ANTIDEPRESSIVOS + OUTROS ANTIDEPRESSIVOS,CLORIDRATO DE TRAZODONA,,,
ORNITARGIN,VITAMINAS E SUPLEMENTOS MINERAIS,ASPARTATO DE ORNITINA +  CITRULINA +  CLORIDRATO DE ARGININA,,,
OROMUNIL,IMUNOMODULADOR,,,,
OROSPREVENT,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,,,,
OROSTAN,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OROXADIN,ANTILIPEMICOS,,,,
ORTHOCLONE OKT3,IMUNOGLOBULINAS,,,,
ORTOFLAN,ANTINFLAMATORIOS,,,,
ORTOSAMIN,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,,,,
OSADROX,CEFALOSPORINAS,,,,
OSAVER,ANTI-HIPERTENSIVOS,,,,
OSBANT,SUPRESSORES DA REABSORCAO OSSEA,IBANDRONATO DE SÓDIO MONOIDRATADO,,,
OSCAL  D,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
OSCAL 500,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
OSCAL D,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
OSCILLOCOCCINUM,PRODUTOS HOMEOPATICOS,,,,
OSCÁLCIO COLOIDAL,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,,,,
OSELFLU,ANTIVIRÓTICOS,FOSFATO DE OSELTAMIVIR,,,
OSKIN,DESMELANIZANTES,HIDROQUINONA +  TRETINOÍNA +  FLUOCINOLONA ACETONIDA,,,
OSLIF,BRONCODILATADORES,,,,
OSSEOPOR,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
OSSIX,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,,,,
OSSOFLEX,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,IPRIFLAVONA,,,
OSSOFLUOR,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,,,,
OSSOMAX,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSSOPAN,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
OSSOTRAT - D,VITAMINAS E SUPLEMENTOS MINERAIS,CARBONATO DE CÁLCIO +  COLECALCIFEROL,,,
OSTAC,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,,,,
OSTELOX,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTENAN,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOBAN,SUPRESSORES DA REABSORCAO OSSEA,IBANDRONATO DE SÓDIO MONOIDRATADO,,,
OSTEOBLOCK,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEODUO,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
OSTEODUO FOS,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
OSTEOFAR,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOFEN,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOFIX,VITAMINAS E SUPLEMENTOS MINERAIS,CARBONATO DE CÁLCIO +  COLECALCIFEROL,,,
OSTEOFORM,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOGLIC,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,SULFATO DE GLICOSAMINA,,,
OSTEONUTRI,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
OSTEOPLUS,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,,,,
OSTEOPREVIX D,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,CARBONATO DE CÁLCIO +  COLECALCIFEROL,,,
OSTEORAL,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOTEC,SUPRESSORES DA REABSORCAO OSSEA,IBANDRONATO DE SÓDIO MONOIDRATADO,,,
OSTEOTRAT,SUPRESSORES DA REABSORCAO OSSEA,,,,
OSTEOX,ANTINFLAMATORIOS,,,,
OSTIFLEX,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,,,,
OSTRAM,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
OSTRAZIL,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO,,,
OSTRIOL,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,CALCITRIOL,,,
OSVIT,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS,,,,
OSYS,AGENTE IMUNOSUPRESSOR,EVEROLIMO,,,
OTICERIM,REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO,,,,
OTIUN,ANALGESICOS NAO NARCOTICOS,,,,
OTO - XILODASE,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,CLORIDRATO DE LIDOCAINA +  HIALURONIDASE +  SULFATO DE NEOMICINA,,,
OTO BETNOVATE,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
OTO-CER,REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO,,,,
OTOCAINE,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTOCIRIAX,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,CIPROFLOXACINO +  HIDROCORTISONA MICRONIZADA,,,
OTOCORT,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OTODOL,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTOFOXIN,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,CLORIDRATO DE CIPROFLOXACINO ,,,
OTOGRAN,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTOLÓIDE,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OTOMICINA,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTOMIXYN,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
OTOQUINOFLOX,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTOSPORIN,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
OTOSYLASE,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,CLORIDRATO DE LIDOCAINA +  NEOMICINA +  SULFATO DE POLIMIXINA B +  FLUOCINOLONA ACETONIDA,,,
OTOSYNALAR,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
OTRIVINA,DESCONGESTIONANTES NASAIS TOPICOS,,,,
OTTONON,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OTURGA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
OUVIDONAL,ANTINFECCIOSOS,,,,
OUVIDOSAN,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
OVANTA,SUPRESSORES DA REABSORCAO OSSEA,,,,
OVARELL,PRODUTOS HOMEOPATICOS-COMPONENTE UNICO,,,,
OVARIOFLORA,FITOTERAPICO COMPOSTO,,,,
OVESTRION,ESTROGENOS SIMPLES,ESTRIOL,,,
OVIDREL,HORMONIO GONADOTROFICO,,,,
OVORESTA,ANTICONCEPCIONAIS,,,,
OXA,CITOSTATICOS ALQUILANTES,OXALIPLATINA,,,
OXA-PLATIN,CITOSTATICOS ALQUILANTES,OXALIPLATINA,,,
OXACICLINA,PENICILINAS PENICILINASE-RESISTENTES,,,,
OXACIL,PENICILINAS PENICILINASE-RESISTENTES,,,,
OXACILIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
OXACILINA,PENICILINAS PENICILINASE-RESISTENTES,,,,
OXACILINA SODICA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
OXACILINA SODICA MONOHIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
OXACILINA SÓDICA,PENICILINAS PENICILINASE-RESISTENTES,,,,
OXALATO DE ESCITALOPRAM,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM,,,
OXALIBBS,CITOSTATICOS ALQUILANTES,OXALIPLATINA,,,
OXALIMEIZ,CITOSTATICOS ALQUILANTES,,,,
OXALIPLATINA,CITOSTATICOS ALQUILANTES,OXALIPLATINA,,,
OXAMIXIL,ANTIPARASITARIOS,OXAMNIQUINA,,,
OXAMNIQUINA,ESQUISTOSSOMICIDAS,,,,
OXANDRIN,ANDROGENOS SIMPLES,,,,
OXANON,PENICILINAS PENICILINASE-RESISTENTES,,,,
OXAPEN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
OXAPROZINA,ANTINFLAMATORIOS,,,,
OXCARB,ANTICONVULSIVANTES,OXCARBAZEPINA,,,
OXCARBAZEPINA,ANTICONVULSIVANTES,,,,
OXCARBAZEPINA (PORT 344/98 LISTA C1),ANTICONVULSIVANTES,,,,
OXCORD,ANTIANGINOSOS E VASODILATADORES,,,,
OXERON,ANTINEOPLASICO,,,,
OXIAN,FITOTERAPICO SIMPLES,,,,
OXICOL,ANTIMICOTICOS PARA USO TOPICO,,,,
OXIDO DE ZINCO,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
OXIDO DE ZINCO + ASSOCIAÇÕES,"PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS",,,,
OXIDO DE ZINCO ASSOCIADO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
OXIDO DE ZINCO+PALMITATO DE RETINOL+COLICALCIFEROL+TRICLOSANO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
OXIDRONATO DE SÓDIO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
OXIFENILBUTAZONA + PARACETAMOL,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
OXIFRIN,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE OXIMETAZOLINA,,,
OXIGEN,VASODILATADORES CEREBRAIS,,,,
OXIMAX,OUTROS MEDICAMENTOS ANTIASMATICOS,,,,
OXIMETAZOLINA,DESCONGESTIONANTES NASAIS TOPICOS,,,,
OXINEST,ANESTESICOS,,,,
OXIPELLE,ANTIMICOTICOS PARA USO TOPICO,,,,
OXIS TURBUHALER,BRONCODILATADORES,,,,
OXISTAT,ANTIMICOTICOS PARA USO TOPICO,,,,
OXITEC,ANTINFLAMATORIOS,,,,
OXITON,OCITOCICOS HORMONAIS,,,,
OXITOPENA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
OXIVID,OCITOCICOS HORMONAIS,,,,
OXIZINCO,ANTISSEPTICO,,,,
OXLUMO,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,LUMASIRANA SÓDICA,,,
OXOTRON,ANTINFLAMATORIOS,LOXOPROFENO SÓDICO,,,
OXPLATY,CITOSTATICOS ALQUILANTES,,,,
OXSORALEN,MELANIZANTES,,,,
OXY,PRODUTOS ANTI-ACNE,,,,
OXYCONTIN,ANALGESICOS NARCOTICOS,,,,
OXYDERME,ANTI-FUNGICOS,NISTATINA +  ÓXIDO DE ZINCO,,,
OXYNORM ®,ANALGESICOS NARCOTICOS,CLORIDRATO DE OXICODONA,,,
OZONYL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
OZURDEX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,DEXAMETASONA,,,
Ocylin,PENICILINA DE AMPLO ESPECTRO,,,,
Ofloxacino,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
Olmesartana medoxomila,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA,,,
Olumiant,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES + ANTAGONISTAS HORMONAIS E AGENTES RELACIONADOS + INIBIDOR,BARICITINIBE,,,
Olysio,ANTIVIROTICOS,,,,
Omcilon A,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. + GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
Omnitrope,HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO,SOMATROPINA,,,
Onaz,ANTIPSICOTICOS,OLANZAPINA,,,
Onpattro,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,PATISIRANA SÓDICA,,,
Ontrax,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,,,
